word,reading,meaning_en,jlpt_level
回数,かいすう,number of times; frequency,N2
回数券,かいすうけん,book of tickets,N2
改正,かいせい,revision; amendment; alteration,N2
快晴,かいせい,good weather,N2
解説,かいせつ,explanation; commentary,N2
改造,かいぞう,remodeling,N2
開通,かいつう,opening; open,N2
回転,かいてん,rotation; revolution; turning,N2
解答,かいとう,answer; solution,N2
回答,かいとう,reply; answer,N2
外部,がいぶ,the outside; external,N2
解放,かいほう,release; liberation; emancipation,N2
開放,かいほう,open; throw open; liberalization,N2
海洋,かいよう,ocean,N2
概論,がいろん,intro; outline; general remarks,N2
帰す,かえす,to send back,N2
却って,かえって,on the contrary; rather; all the more; instead,N2
代える,かえる,to exchange; to interchange; to substitute; to replace,N2
反る,かえる,to warp; to be warped; to curve,N2
家屋,かおく,house; building,N2
係わる,かかわる,to concern oneself in; to have to do with; to affect; to influence; to stick to (opinions),N2
書留,かきとめ,writing down; putting on record; recording; making a note of; registration (of mail),N2
書取,かきとり,dictation,N2
垣根,かきね,hedge,N2
掻く,かく,to scratch; to perspire,N2
嗅ぐ,かぐ,to sniff; to smell,N2
架空,かくう,aerial; overhead; fiction; fanciful,N2
各自,かくじ,individual; each,N2
拡充,かくじゅう,expansion,N2
学術,がくじゅつ,science; learning; scholarship,N2
各地,かくち,every place; various places,N2
拡張,かくちょう,expansion; extension; enlargement; escape (ESC),N2
角度,かくど,angle,N2
学年,がくねん,year in school; grade in school,N2
学部,がくぶ,department of a university; undergraduate,N2
格別,かくべつ,exceptional,N2
確率,かくりつ,probability,N2
学力,がくりょく,scholarship; knowledge; literary ability,N2
掛け算,かけざん,multiplication,N2
可決,かけつ,approval; adoption (e.G. Motion; bill); passage,N2
火口,かこう,a burner; origin of a fire,N2
下降,かこう,downward; descent; fall; drop; subsidence,N2
重なる,かさなる,to be piled up; lie on top of one another; overlap each other,N2
重ねる,かさねる,to pile up; to put something on another; to heap up; to add; to repeat,N2
飾り,かざり,decoration,N2
火山,かざん,volcano,N2
かしこまりました,かしこまりました,certainly!,N2
貸し出し,かしだし,lending; loaning,N2
過失,かしつ,error; blunder; accident,N2
果実,かじつ,fruit; nut; berry.,N2
貸間,かしま,room to let,N2
貸家,かしや,house for rent,N2
個所,かしょ,passage; place; point; part,N2
過剰,かじょう,excess; over-,N2
かじる,かじる,to chew; to bite (at); to gnaw; to nibble,N2
課税,かぜい,taxation,N2
下線,かせん,underline; underscore,N2
カセット,カセット,cassette (tape),N2
加速,かそく,acceleration,N2
加速度,かそくど,acceleration,N2
固い,かたい,stubborn; firm (not viscous or easily moved),N2
堅い,かたい,hard (esp. Wood); steadfast; honorable; stuffy writing,N2
片仮名,かたかな,katakana,N2
片付く,かたづく,to put in order; to dispose of; to solve,N2
塊,かたまり,lump; mass; clod; cluster,N2
固まる,かたまる,to harden; to solidify; to become firm; to become certain,N2
片道,かたみち,one-way (trip),N2
傾く,かたむく,to incline toward; to slant; to lurch,N2
片寄る,かたよる,to be one-sided; to incline; to be partial,N2
学科,がっか,study subject; course of study,N2
学会,がっかい,scientific society; academic meeting,N2
楽器,がっき,musical instrument,N2
学級,がっきゅう,grade in school,N2
担ぐ,かつぐ,to shoulder; to carry on shoulder,N2
括弧,かっこ,parenthesis; brackets,N2
活字,かつじ,printing type,N2
活躍,かつやく,activity,N2
活力,かつりょく,vitality; energy,N2
仮定,かてい,assumption; supposition; hypothesis,N2
過程,かてい,process,N2
課程,かてい,course; curriculum,N2
仮名,かな,(n) alias; pseudonym; pen name,N2
仮名遣い,かなづかい,kana orthography; syllabary spelling,N2
鐘,かね,bell; chime,N2
加熱,かねつ,heating,N2
兼ねる,かねる,to hold (position); to serve; to be unable,N2
カバー,カバー,cover (ex. Book),N2
過半数,かはんすう,majority,N2
被せる,かぶせる,to cover (with something),N2
釜,かま,iron pot; kettle,N2
紙屑,かみくず,wastepaper,N2
神様,かみさま,god (polite),N2
剃刀,かみそり,razor,N2
ガム,ガム,chewing gum,N2
貨物,かもつ,cargo; freight,N2
かゆい,かゆい,itchy; itching,N2
歌謡,かよう,song; ballad,N2
殻,から,shell; husk; hull; chaff,N2
カラー,カラー,collar; color; colour,N2
からかう,からかう,to ridicule; to tease; to banter with; to make fun of,N2
空っぽ,からっぽ,empty; vacant; hollow,N2
かるた,かるた,(n) playing cards (pt: carta),N2
枯れる,かれる,to wither; to die (plant); to be blasted (plant),N2
カロリー,カロリー,calorie,N2
かわいがる,かわいがる,to love; to be affectionate,N2
乾かす,かわかす,to dry (clothes; etc.); to desiccate,N2
渇く,かわく,to be thirsty,N2
為替,かわせ,money order; exchange,N2
瓦,かわら,roof tile,N2
代る,かわる,(v5r; vi) to take the place of; to relieve; to be substituted for,N2
間隔,かんかく,space; interval; SPC,N2
換気,かんき,ventilation,N2
感激,かんげき,deep emotion; impression; inspiration,N2
鑑賞,かんしょう,appreciation,N2
感ずる,かんずる,to feel; to sense,N2
間接,かんせつ,indirection; indirectness,N2
乾燥,かんそう,dry; arid; insipid; dehydrated,N2
感想,かんそう,impressions; thoughts,N2
観測,かんそく,observation,N2
寒帯,かんたい,frigid zone,N2
官庁,かんちょう,government office; authorities,N2
勘違い,かんちがい,misunderstanding; wrong guess,N2
缶詰,かんづめ,packing (in cans); canning; canned goods; tin can,N2
乾電池,かんでんち,dry cell; battery,N2
関東,かんとう,eastern half of Japan; including Tokyo,N2
観念,かんねん,idea; notion; conception,N2
乾杯,かんぱい,toast (drink),N2
看板,かんばん,sign; signboard; doorplate; poster,N2
看病,かんびょう,nursing (a patient),N2
冠,かんむり,crown; diadem; first; best,N2
漢和,かんわ,chinese Character-Japanese (e.G. Dictionary),N2
気圧,きあつ,atmospheric pressure,N2
器械,きかい,instrument,N2
着替え,きがえ,changing clothes; change of clothes,N2
機関車,きかんしゃ,locomotive; engine,N2
飢饉,ききん,famine,N2
器具,きぐ,utensil,N2
期限,きげん,term; period,N2
記号,きごう,symbol; code,N2
刻む,きざむ,to mince; to carve; to engrave,N2
儀式,ぎしき,ceremony; rite; ritual; service,N2
基準,きじゅん,standard; basis; criteria; norm,N2
規準,きじゅん,standard; basis; criteria; norm,N2
起床,きしょう,rising; getting out of bed,N2
着せる,きせる,to put on clothes,N2
基礎,きそ,foundation; basis,N2
気体,きたい,vapour; gas,N2
基地,きち,base,N2
きっかけ,きっかけ,chance; start; cue; excuse,N2
ぎっしり,ぎっしり,tightly; fully,N2
基盤,きばん,foundation; basis,N2
客席,きゃくせき,guest seating,N2
客間,きゃくま,parlor; guest room,N2
ギャング,ギャング,gang,N2
キャンパス,キャンパス,campus,N2
休業,きゅうぎょう,closed (e.G. Store); business suspended; shutdown; holiday,N2
休講,きゅうこう,lecture cancelled,N2
休息,きゅうそく,rest; relief; relaxation,N2
給与,きゅうよ,allowance; grant; supply,N2
休養,きゅうよう,rest; break; recreation,N2
清い,きよい,clear; pure; noble,N2
強化,きょうか,strengthen; intensify; reinforce; solidify,N2
境界,きょうかい,boundary,N2
行事,ぎょうじ,event; function,N2
恐縮,きょうしゅく,shame; very kind of you; sorry to trouble,N2
教養,きょうよう,culture; education; refinement; cultivation,N2
行列,ぎょうれつ,line; procession; matrix (math),N2
漁業,ぎょぎょう,fishing (industry),N2
曲線,きょくせん,curve,N2
規律,きりつ,order; rules; law,N2
斬る,きる,(v5r) to behead; to murder,N2
気を付ける,きをつける,to be careful; to pay attention; to take care,N2
金魚,きんぎょ,goldfish,N2
区域,くいき,limits; boundary; domain; zone; sphere; territory,N2
偶数,ぐうすう,even number,N2
空想,くうそう,daydream; fantasy; fancy; vision,N2
空中,くうちゅう,sky; air,N2
クーラー,クーラー,cooler; air conditioner,N2
釘,くぎ,nail,N2
区切る,くぎる,to punctuate; to cut off; to mark off; to stop; to put an end to,N2
櫛,くし,comb,N2
くしゃみ,くしゃみ,sneeze,N2
苦情,くじょう,complaint; troubles; objection,N2
苦心,くしん,pain; trouble,N2
屑,くず,waste; scrap,N2
崩す,くずす,to destroy; to pull down; to make change (money),N2
薬指,くすりゆび,ring finger,N2
崩れる,くずれる,to collapse; to crumble,N2
砕く,くだく,to break; to smash,N2
砕ける,くだける,to break; to be broken,N2
くたびれる,くたびれる,to get tired; to wear out,N2
くだらない,くだらない,good-for-nothing; stupid; trivial; worthless,N2
下る,くだる,to get down; to descend (N2),N2
唇,くちびる,lips,N2
口紅,くちべに,lipstick,N2
くっつく,くっつく,to adhere to; to keep close to,N2
くっつける,くっつける,to attach,N2
くどい,くどい,verbose; importunate; heavy (taste),N2
句読点,くとうてん,punctuation marks,N2
配る,くばる,to distribute; to deliver,N2
工夫,くふう,labourer; worker,N2
区分,くぶん,division; section; classification,N2
組合せ,くみあわせ,combination,N2
組み立てる,くみたてる,to assemble; to set up; to construct,N2
汲む,くむ,to draw (water); to dip; to scoop; to pump,N2
酌む,くむ,to serve sake,N2
悔しい,くやしい,regrettable; mortifying; vexing,N2
悔やむ,くやむ,to mourn,N2
クリーニング,クリーニング,cleaning; dry cleaning; laundry service,N2
くるむ,くるむ,to be engulfed in; to be enveloped by; to wrap up,N2
くれぐれも,くれぐれも,repeatedly; sincerely; earnestly,N2
郡,ぐん,country; district,N2
稽古,けいこ,practice; training; study,N2
敬語,けいご,honorific; term of respect,N2
蛍光灯,けいこうとう,fluorescent lamp; person who is slow to react,N2
形式,けいしき,form; formality; format; math expression,N2
継続,けいぞく,continuation,N2
毛糸,けいと,knitting wool,N2
経度,けいど,longitude,N2
系統,けいとう,system; family line; geological formation,N2
芸能,げいのう,public entertainment; accomplishments; attainments,N2
競馬,けいば,horse racing,N2
警備,けいび,defense; guard; policing; security,N2
形容詞,けいようし,true adjective,N2
形容動詞,けいようどうし,adjectival noun; quasi-adjective,N2
外科,げか,surgical department,N2
毛皮,けがわ,fur; skin; pelt,N2
激増,げきぞう,sudden increase,N2
下車,げしゃ,alighting; getting off,N2
下旬,げじゅん,month (last third of),N2
下水,げすい,drainage; sewage; ditch; gutter; sewerage,N2
削る,けずる,to cut down little by little; to take a percentage,N2
桁,けた,column; beam; digit,N2
下駄,げた,geta (Japanese footwear); wooden clogs,N2
血圧,けつあつ,blood pressure,N2
血液,けつえき,blood,N2
月給,げっきゅう,monthly salary,N2
傑作,けっさく,masterpiece; best work; boner; blunder,N2
月末,げつまつ,end of the month,N2
気配,けはい,indication; market trend; worry,N2
下品,げひん,vulgarity; meanness; indecency; coarseness,N2
煙い,けむい,smoky,N2
蹴る,ける,to kick,N2
けれども,けれども,but; however,N2
険しい,けわしい,inaccessible place; sharp eyes,N2
見学,けんがく,inspection; study by observation; field trip,N2
謙虚,けんきょ,modesty; humility,N2
原稿,げんこう,manuscript; copy,N2
原産,げんさん,place of origin; habitat,N2
原始,げんし,origin; primeval,N2
研修,けんしゅう,training,N2
厳重,げんじゅう,strict; rigour; severe; firm,N2
謙遜,けんそん,humble; humility; modesty,N2
県庁,けんちょう,prefectural office,N2
限度,げんど,limit; bounds,N2
現に,げんに,actually; really,N2
顕微鏡,けんびきょう,microscope,N2
原理,げんり,principle; theory; fundamental truth,N2
原料,げんりょう,raw materials,N2
碁,ご,go (board game of capturing territory),N2
恋しい,こいしい,dear; beloved; darling,N2
請う,こう,to ask; to request,N2
工員,こういん,factory worker,N2
強引,ごういん,overbearing; coercive; pushy; forcible; high-handed,N2
公害,こうがい,public nuisance; pollution,N2
高級,こうきゅう,high class; high grade,N2
公共,こうきょう,public; community; public service; society; communal,N2
工芸,こうげい,industrial arts,N2
孝行,こうこう,filial piety,N2
交差,こうさ,cross,N2
講師,こうし,lecturer,N2
工事,こうじ,construction work,N2
公式,こうしき,formula; formality; official,N2
口実,こうじつ,excuse,N2
こうして,こうして,thus,N2
校舎,こうしゃ,school building,N2
公衆,こうしゅう,the public,N2
香水,こうすい,perfume,N2
公正,こうせい,justice; fairness; impartiality,N2
功績,こうせき,achievements; merit; meritorious service; meritorious deed,N2
光線,こうせん,beam; light ray,N2
高層,こうそう,upper,N2
構造,こうぞう,structure; construction,N2
交替,こうたい,alternation; change; relief; relay; shift,N2
耕地,こうち,arable land,N2
交通機関,こうつうきかん,transportation facilities,N2
校庭,こうてい,campus,N2
肯定,こうてい,positive; affirmation,N2
高度,こうど,altitude; height; advanced,N2
高等,こうとう,high class; high grade,N2
合同,ごうどう,combination; incorporation; union; amalgamation,N2
後輩,こうはい,junior (at work or school),N2
公表,こうひょう,official announcement; proclamation,N2
鉱物,こうぶつ,mineral,N2
公務,こうむ,official business; public business,N2
項目,こうもく,item,N2
紅葉,こうよう,autumn Colors,N2
合理,ごうり,rational,N2
交流,こうりゅう,alternating current; intercourse; (cultural) exchange; intermingling,N2
合流,ごうりゅう,confluence; union; linking up; merge,N2
効力,こうりょく,effect; efficacy; validity; potency,N2
超える,こえる,to exceed; to cross over; to cross,N2
コース,コース,course,N2
コーラス,コーラス,chorus,N2
焦がす,こがす,to burn; to scorch; to singe; to char,N2
国王,こくおう,king,N2
国籍,こくせき,nationality,N2
国立,こくりつ,national,N2
ごくろうさま,ごくろうさま,thank you very much for your....,N2
焦げる,こげる,to burn; to be burned,N2
凍える,こごえる,to freeze; to be chilled; to be frozen,N2
心当たり,こころあたり,having some knowledge of; happening to know,N2
心得る,こころえる,to be informed; to have thorough knowledge,N2
腰掛け,こしかけ,seat; bench,N2
腰掛ける,こしかける,to sit (down),N2
五十音,ごじゅうおん,the Japanese syllabary,N2
胡椒,こしょう,pepper,N2
こしらえる,こしらえる,to make; to manufacture,N2
超す,こす,to cross; to pass; to tide over,N2
擦る,こする,to rub; to chafe; to file; to frost (glass); to strike (match),N2
個体,こたい,an individual,N2
御馳走,ごちそう,feast; treating (someone),N2
ごちそうさま,ごちそうさま,feast,N2
こちらこそ,こちらこそ,it is I who should say so,N2
小遣い,こづかい,personal expenses; pocket money; spending money; incidental expenses; allowance,N2
こっそり,こっそり,stealthily; secretly,N2
古典,こてん,old book; classics; classic,N2
琴,こと,koto (Japanese harp),N2
言付ける,ことづける,to send word; to send a message,N2
言葉遣い,ことばづかい,speech; expression; wording,N2
こないだ,こないだ,the other day; lately; recently,N2
御無沙汰,ごぶさた,not writing or contacting for a while,N2
こぼす,こぼす,to spill,N2
こぼれる,こぼれる,to overflow; to spill,N2
塵芥,ごみ,trash; rubbish,N2
ゴム,ゴム,gum; rubber; eraser,N2
御免,ごめん,your pardon; declining (something); dismissal; permission,N2
ごめんください,ごめんください,may I come in?,N2
小指,こゆび,little finger,N2
こらえる,こらえる,to bear; to stand; to endure; to put up with,N2
娯楽,ごらく,pleasure; amusement,N2
御覧,ごらん,(hon) look; inspection; try,N2
コレクション,コレクション,collection; correction,N2
転がす,ころがす,to roll,N2
転がる,ころがる,to roll; to tumble,N2
紺,こん,navy blue; deep blue,N2
コンクール,コンクール,contest (fr: concours),N2
コンクリート,コンクリート,concrete,N2
混合,こんごう,mixing; mixture,N2
コンセント,コンセント,electrical plug,N2
献立,こんだて,menu; program; schedule,N2
こんばんは,こんばんは,good evening,N2
サークル,サークル,circle; sports club (i.E. At a company),N2
在学,ざいがく,(enrolled) in school,N2
再三,さいさん,again and again; repeatedly,N2
祭日,さいじつ,national holiday; festival day,N2
催促,さいそく,request; demand; claim; urge (action); press for,N2
採点,さいてん,marking; grading; looking over,N2
災難,さいなん,calamity; misfortune,N2
裁縫,さいほう,sewing,N2
材木,ざいもく,lumber; timber,N2
サイレン,サイレン,siren,N2
逆さ,さかさ,reverse; inversion; upside down,N2
逆様,さかさま,inversion; upside down,N2
捜す,さがす,to search; to seek; to look for,N2
遡る,さかのぼる,to go back; to go upstream; to make retroactive,N2
酒場,さかば,bar; bar-room,N2
さきおととい,さきおととい,two days before yesterday,N2
先程,さきほど,some time ago,N2
裂く,さく,to tear; to split,N2
索引,さくいん,index; indices,N2
作者,さくしゃ,author; authoress,N2
削除,さくじょ,elimination; cancellation; deletion; erasure,N2
作成,さくせい,frame; draw up; make; producing,N2
作製,さくせい,manufacture,N2
探る,さぐる,to search; to look for; to sound out,N2
囁く,ささやく,to whisper; to murmur,N2
刺さる,ささる,to stick; to be stuck,N2
匙,さじ,spoon,N2
座敷,ざしき,tatami room,N2
差し支え,さしつかえ,hindrance; impediment,N2
差し引き,さしひき,deduction; subtraction; balance; ebb and flow; rise and fall,N2
刺身,さしみ,sliced raw fish,N2
刺す,さす,to pierce; to stab; to prick; to thrust,N2
挿す,さす,to insert; to put in; to graft; to wear in belt,N2
注す,さす,to pour (drink); to serve (drinks),N2
射す,さす,to shine; to strike,N2
流石,さすが,clever; adept; good; expectations; as one would expect,N2
撮影,さつえい,photographing,N2
雑音,ざつおん,noise (jarring; grating),N2
さっさと,さっさと,quickly,N2
早速,さっそく,at once; immediately; without delay; promptly,N2
錆,さび,rust (colour),N2
錆びる,さびる,to rust; to become rusty,N2
座布団,ざぶとん,cushion (Japanese),N2
冷ます,さます,to cool; to dampen; to let cool,N2
妨げる,さまたげる,to disturb; to prevent,N2
冷める,さめる,to become cool; to wear off; to abate; to subside,N2
さようなら,さようなら,good-bye,N2
再来月,さらいげつ,month after next,N2
再来週,さらいしゅう,week after next,N2
再来年,さらいねん,year after next,N2
サラリーマン,サラリーマン,salary man; company employee,N2
騒がしい,さわがしい,noisy,N2
さわやか,さわやか,fresh; refreshing; invigorating,N2
